card_id,pr_id,population_case_type,pr_state,merged,repo_id,agent,html_url,,evidence_source,evidence_created_at,merged_at,horas_creacion_a_primera_aprobacion,horas_creacion_a_merge,horas_creacion_a_aceptacion,fuente_tiempo_aceptacion,categoria_retrabajo_pre_merge,justificacion_breve,cita_textual_retrabajo
3075286950-A,3075286950,merged_after_rework,closed,true,33010673,Copilot,https://github.com/microsoft/perfview/pull/2204,,pr_review,2025-05-20T05:52:04Z,2025-05-22T15:36:29Z,11045,63222,11045,primera_review_aprobada,Corrección de Especificación Incorrecta Requiriendo Reescritura Múltiple,"noahfalk señaló: ""Especificación en issue #2137 era imprecisa"". Copilot reescribió. noahfalk: ""No, edita V5 spec, NO V6"". Copilot reescribió. noahfalk: ""Ahora remover cambios de V6"". 4 cambios para +2 líneas. Raíz: issue original (#2137) tenía instrucciones ambiguas sobre V5 vs V6. Copilot no validó contra realidad.",z
3075799511-A,3075799511,merged_after_rework,closed,true,56710511,Copilot,https://github.com/dotnet/macios/pull/22840,,pr_review,2025-05-27T08:40:46Z,2025-07-16T15:05:40Z,1228600,1376756,1228600,primera_review_aprobada,Bot Malfuncionando Requiriendo Bypass Manual - Retraso Extremo,"Copilot crasheó al procesar comentarios de vs-mobiletools-engineering-service2 (bot CI/CD). 10+ errores consecutivos: ""Unfortunately I hit an unexpected error"". PR congelado 38 DÍAS sin actividad visible. rolfbjarne intervino manualmente el Jul 10 (51 días después). Todos los tests pasaron, pero Copilot no podía comunicarlos. Raíz: automatización frágil, sin plan B, sin alerta a mantainers.",z
3076981888-A,3076981888,merged_after_rework,closed,true,344511263,Copilot,https://github.com/microsoft/AzureTRE/pull/4554,,pr_review,2025-06-27T09:19:45Z,2025-07-03T08:37:57Z,908133,1051437,908133,primera_review_aprobada,Cambio Menor Abandonado por Falta de Revisión - Reactivación Manual,"martinpeck fue asignado como revisor. Desapareció 37 DÍAS sin responder. marrobi (owner) retomó, añadió changelog + version bump, se auto-aprobó, ejecutó /test-force-approve (comando para forzar tests). Mergeó. Raíz: SLA de revisor no definido (max 7 días), owner se auto-aprobó, force-approve sin governance.",z
3077383006-A,3077383006,merged_after_rework,closed,true,550902717,Copilot,https://github.com/dotnet/dotnet/pull/649,,pr_comment,2025-05-20T15:32:13Z,2025-05-20T20:52:04Z,1238,5651,1238,primera_review_aprobada,Corrección Iterativa Bien Coordinada Entre Revisor y Bot,"ViktorHofer solicitó cambios ESPECÍFICOS: ""Reemplaza headers 3-línea con 2-línea"" (con ejemplos exactos). Copilot ejecutó (37 archivos). V2: ""Haz lo mismo en otros .cs"". Copilot ejecutó (53 archivos). akoeplinger intervino: ""Necesitas root = true"". Copilot implementó corrección. 106 archivos, 10 commits, < 5 horas. Raíz: feedback específico + presencia del owner + revisor técnico = éxito.",z
3080755872-A,3080755872,merged_after_rework,closed,true,102907977,Copilot,https://github.com/benbalter/jekyll-remote-theme/pull/106,,pr_comment,2025-05-21T18:00:59Z,2025-05-21T18:57:01Z,,2853,2853,merge_sin_review_aprobada,Merge con Checks Fallando - Confianza del Owner,"benbalter migró CI/CD de Travis a GitHub Actions. 4 checks ejecutados: 1 pasó, 3 FALLARON (probablemente checks del Travis viejo siendo deprecado). benbalter preguntó: ""@copilot still working?"". Copilot: ""Yes, everything correct"". benbalter mergeó con 1/4 checks pasando. Raíz: decisión estratégica válida (ignorar checks del sistema antiguo) pero sin documentación explícita de POR QUÉ se ignoran.",z
3081566388-A,3081566388,merged_after_rework,closed,true,41005795,Copilot,https://github.com/microsoft/GSL/pull/1208,,pr_review_comment,2025-05-21T23:05:28Z,2025-05-22T17:52:47Z,,19258,19258,merge_sin_review_aprobada,Errores en tests unitarios / compilación,"Los comentarios del revisor indican que los tests de constexpr no pasaban y que algunos commits incluían artefactos de build, impidiendo el merge inmediato. Esto constituye un motivo técnico de corrección de errores antes de integración.",z
3081576661-A,3081576661,merged_after_rework,closed,true,166226127,Copilot,https://github.com/christianhelle/apiclientcodegen/pull/1169,,pr_comment,2025-05-22T15:19:25Z,2025-05-22T21:44:23Z,,23012,23012,merge_sin_review_aprobada,Errores de build y ajustes en la implementación,El PR requería correcciones en la construcción de la solución (Rapicgen.sln) y ajustes en la implementación del método OnExecute para que la compilación fuera exitosa y las pruebas pasaran.,@copilot Building the Rapicgen.sln solution fails. Fix this
3082820826-A,3082820826,merged_after_rework,closed,true,136202695,Copilot,https://github.com/mlflow/mlflow/pull/15839,,pr_review_comment,2025-05-22T12:17:58Z,2025-05-29T02:58:31Z,159789,160853,159789,primera_review_aprobada,Errores y ajustes en tests de decoradores,"El PR requería modificaciones en el decorador @mlflow.trace para soportar correctamente métodos de clase y estáticos. Además, se realizaron varios ajustes para corregir fallos en los tests relacionados con la captura de parámetros cls y la validación de entradas/salidas, asegurando compatibilidad y funcionalidad correcta.",z
3083360457-A,3083360457,merged_after_rework,closed,true,376924587,Copilot,https://github.com/microsoft/go-sqlcmd/pull/582,,pr_review,2025-05-28T13:07:02Z,2025-05-28T13:31:41Z,134752,144205,134752,primera_review_aprobada,Errores de comportamiento en ejecución no interactiva,"El PR abordó la aparición incorrecta de prompts de línea cuando sqlcmd se ejecuta con stdin redirigido. Se implementó detección automática de redirección de stdin y se ajustó la inicialización de la consola para suprimir prompts, manteniendo el comportamiento interactivo cuando corresponde.","""please fix the title and PR description (a --disable-prompts flag has note been added)"""
3084021151-A,3084021151,merged_after_rework,closed,true,166464283,Copilot,https://github.com/Azure/AppConfiguration/pull/1067,,pr_review_comment,2025-05-22T17:10:04Z,2025-05-22T18:26:43Z,674,1376,674,primera_review_aprobada,Actualización de dependencias sin conflictos,"El PR solo actualiza la versión del paquete azure-appconfiguration-provider en un proyecto Django de 1.3.0 a 2.1.0. No se requieren cambios en el código porque la API ya era compatible, y la versión de Django estaba actualizada. El merge inmediato se retrasó únicamente por revisión y ajustes de versionado en el requirements.txt.",z
3084794817-A,3084794817,merged_after_rework,closed,true,174629277,Copilot,https://github.com/microsoft/lisa/pull/3822,,pr_review_comment,2025-05-23T00:29:39Z,2025-05-24T03:29:35Z,27643,27648,27643,primera_review_aprobada,Errores de tipo y ajustes en implementación de credenciales,"El PR agregó soporte para AzureCliCredential en el orquestador de Azure. Hubo errores de tipo en los argumentos del constructor de AzureCliCredential y problemas de formato de código (Black), que debieron corregirse antes de poder mergear de manera segura.","""Please fix below check errors: lisa/sut_orchestrator/azure/credential.py:429:56: error: Incompatible types in assignment ..."""
3084861928-A,3084861928,merged_after_rework,closed,true,215705753,Copilot,https://github.com/lgallard/terraform-aws-backup/pull/115,,pr_review,2025-05-30T23:58:39Z,2025-05-30T23:59:32Z,,191100,191100,merge_sin_review_aprobada,Errores de manejo de valores nulos y compatibilidad de bloques dinámicos,"El PR añadió soporte para múltiples planes de backup, pero durante las pruebas surgieron errores relacionados con valores nulos (conditions y selection_tags) en bloques dinámicos de Terraform. Esto requería correcciones para manejar correctamente los valores nulos y mantener la compatibilidad con configuraciones existentes.",Invalid value for 'value' parameter: argument must not be null
3085322410-A,3085322410,merged_after_rework,closed,true,136202695,Copilot,https://github.com/mlflow/mlflow/pull/15852,,pr_review,2025-05-23T08:55:50Z,2025-05-23T08:59:41Z,2537,2601,2537,primera_review_aprobada,Actualización de dependencias / restricción de versiones,"El PR elimina la restricción de versión de la librería OpenAI (openai<1.82.0) ahora que llama-index-llms-openai 0.3.44 está disponible, permitiendo que los usuarios utilicen versiones más recientes. No hubo cambios funcionales en el código, solo ajustes de versión y triggers de CI.",z
3085653329-A,3085653329,merged_after_rework,closed,true,100315623,Copilot,https://github.com/Azure/autorest.csharp/pull/5327,,pr_review_comment,2025-05-23T08:49:13Z,2025-05-23T10:02:59Z,1358,1403,1358,primera_review_aprobada,Actualización de dependencias sin cambios funcionales,El PR solo actualiza la versión del paquete @azure-tools/typespec-azure-resource-manager de 0.56.0 a 0.56.1. No se requieren cambios de código porque la API es compatible; se realizaron ajustes de package.json y package-lock.json para reflejar la nueva versión y asegurar la construcción exitosa,z
3086540771-A,3086540771,merged_after_rework,closed,true,32051890,Copilot,https://github.com/dotnet/msbuild/pull/11887,,pr_review_comment,2025-05-23T14:32:43Z,2025-06-12T07:21:17Z,456400,473055,456400,primera_review_aprobada,Actualización de dependencias / SDK,El PR actualiza la versión del .NET SDK a 9.0.301. Se realizaron ajustes en global.json y correcciones menores de advertencias en tests (Warnings-as-Errors) para asegurar que la construcción y pruebas funcionen con la nueva versión del SDK. No hubo cambios funcionales en el código de la aplicación.,"""The change to the global.json looks good. Fix the new warnings-as-errors."""
3087094895-A,3087094895,merged_after_rework,closed,true,587965862,Copilot,https://github.com/microsoft/finops-toolkit/pull/1633,,pr_review_comment,2025-05-25T16:33:14Z,2025-05-29T08:53:19Z,135128,135159,135128,primera_review_aprobada,Problemas de límite de tamaño de archivo / reestructuración de scripts,"El archivo IngestionSetup.kql superaba el límite de tamaño permitido (128KB) para Bicep, causando fallos de despliegue. El PR resolvió esto dividiendo el archivo en varios más pequeños y ajustando los módulos de Bicep para cargarlos secuencialmente, preservando el orden de ejecución original y la compatibilidad.","""The IngestionSetup.kql file has grown beyond the 128KB Bicep file size limit, causing deployment failures."""
3087813875-A,3087813875,merged_after_rework,closed,true,80874333,Copilot,https://github.com/MikePopoloski/slang/pull/1372,,pr_review_comment,2025-05-24T01:36:58Z,2025-05-24T10:44:26Z,,9902,9902,merge_sin_review_aprobada,Falsos positivos en análisis estático / ajuste de reglas,"El PR corrige el chequeo RegisterHasNoReset que generaba advertencias incorrectas para variables de iterador dentro de bloques always_ff. Ahora ignora correctamente variables de lifetime automático, asegurando que las advertencias solo se generen para registros que requieren reset.","The IngestionSetup.kql file has grown beyond the 128KB Bicep file size limit, causing deployment failures."""
3090023166-A,3090023166,merged_after_rework,closed,true,136202695,Copilot,https://github.com/mlflow/mlflow/pull/15877,,pr_comment,2025-05-26T05:21:29Z,2025-05-26T05:27:51Z,,279,279,merge_sin_review_aprobada,Corrección de errores tipográficos / test,"El PR corrige un error tipográfico en el nombre de la función de prueba test_differenet_requirements_create_different_environments, mejorando la legibilidad del código sin afectar la funcionalidad de los tests.",LGTM (Looks good to me)
3091075597-A,3091075597,merged_after_rework,closed,true,726072067,Copilot,https://github.com/estruyf/vscode-demo-time/pull/123,,pr_comment,2025-05-26T12:39:57Z,2025-05-26T16:09:03Z,,3509,3509,merge_sin_review_aprobada,Mejora de funcionalidad / renderizado de Markdown,El PR añade soporte para tablas en las diapositivas mediante la integración de remark-gfm en la pipeline de transformación de Markdown. También se aplicó estilo predeterminado a las tablas para mantener consistencia visual en previsualizaciones y exportaciones a PDF. Esto mejora la experiencia de usuario sin afectar otras funcionalidades existentes.,"This PR adds support for Markdown tables in slides by integrating remark-gfm into the markdown transformation pipeline."""
3093824141-A,3093824141,merged_after_rework,closed,true,630287118,Copilot,https://github.com/feiskyer/chatgpt-copilot/pull/491,,pr_comment,2025-07-18T13:07:20Z,2025-07-18T13:56:26Z,,1249109,1249109,merge_sin_review_aprobada,Corrección de configuración de API / URL,"El PR corrige la URL base del API de Grok (xAI) para incluir el componente /v1, evitando errores 404 cuando los usuarios hacen solicitudes. Esto garantiza compatibilidad con configuraciones existentes y correcto direccionamiento a la versión de la API.","""When using the Grok (xAI) API, users encounter 404 errors because the API request URL is missing the /v1 path component"""
3094144121-A,3094144121,merged_after_rework,closed,true,136202695,Copilot,https://github.com/mlflow/mlflow/pull/15909,,pr_review_comment,2025-05-27T14:36:27Z,2025-05-27T15:15:53Z,,827,827,merge_sin_review_aprobada,Ajuste de configuración de hooks pre-commit,"El PR buscaba modificar los comandos pre-commit install para agregar --install-hooks, asegurando que los hooks se instalaran inmediatamente. El retrabajo se produjo porque la primera implementación mantuvo opciones de tipo de hook (-t pre-commit -t prepare-commit-msg) que el revisor consideró innecesarias, por lo que Copilot debió simplificar el comando en varios archivos.","""let's remove hook type options."""
3095409522-A,3095409522,merged_after_rework,closed,true,77990768,Copilot,https://github.com/Azure/azure-functions-core-tools/pull/4445,,pr_comment,2025-06-09T19:58:01Z,2025-06-18T20:15:38Z,522993,525690,522993,primera_review_aprobada,This repository has been disabled.,,
3098739033-A,3098739033,merged_after_rework,closed,true,210716005,Copilot,https://github.com/dotnet/runtime/pull/116080,,pr_review,2025-05-30T22:19:40Z,2025-06-05T21:11:08Z,47114,190167,47114,primera_review_aprobada,Corrección de descubrimiento de propiedades públicas / MetadataLoadContext,"El PR ajusta PropertyPolicies.GetMemberAttributes para considerar tanto la accesibilidad del getter como del setter, evitando que propiedades con setters públicos pero getters privados sean excluidas de la enumeración de propiedades públicas. Esto asegura que TaskHostFactory funcione correctamente con todas las propiedades públicas, manteniendo compatibilidad con la reflexión estándar de .NET.","""TaskHostFactory does not work with public properties that have private get accessors as task parameters."""
3098938231-A,3098938231,merged_after_rework,closed,true,845317529,Copilot,https://github.com/giselles-ai/giselle/pull/994,,pr_review,2025-05-29T03:43:05Z,2025-05-29T03:44:08Z,1816,1833,1816,primera_review_aprobada,Mejora de robustez / validación de inputs y manejo de errores,"El PR implementa validaciones más completas y manejo de errores en la ejecución de queries y en la lógica de los nodos de vector store, abordando el feedback de CodeRabbit. Se agregaron pruebas para escenarios de inputs nulos o inválidos, límites de parámetros, y gestión de errores asíncronos, aumentando la fiabilidad y mantenibilidad sin romper la compatibilidad existente.","Enhanced validation and sanitization of the question parameter and other inputs in the RAG query."""
3099658013-A,3099658013,merged_after_rework,closed,true,920805662,Copilot,https://github.com/microsoft/documentdb/pull/204,,pr_review_comment,2025-06-12T08:45:49Z,2025-06-18T07:49:04Z,335637,478895,335637,primera_review_aprobada,Soporte de empaquetado / creación de RPM,"El PR agrega soporte para construir paquetes .rpm para distribuciones basadas en Red Hat (RHEL, CentOS, Rocky Linux, Fedora). Hubo múltiples iteraciones para corregir problemas de conectividad de red, dependencias faltantes y ajustes en los scripts de construcción y pruebas (make check). Se mantiene compatibilidad con los paquetes .deb existentes y no se modificó el código central de la aplicación.","""The RPM build failure is due to firewall restrictions blocking access to external repositories."""
3102987892-A,3102987892,merged_after_rework,closed,true,247710440,Copilot,https://github.com/specmatic/specmatic/pull/1872,,pr_review_comment,2025-05-30T17:46:24Z,2025-06-01T11:02:48Z,,47347,47347,merge_sin_review_aprobada,Refactorización / simplificación de lógica interna,"El PR simplifica y clarifica la cláusula when en la función calculatePathForAnyPattern de JSONObjectPattern.kt. Se eliminan condiciones redundantes, se unifica la lógica de concatenación de rutas y se reemplaza la verificación con regex por validación de caracteres, mejorando la legibilidad y mantenibilidad del código sin alterar la funcionalidad.","""This PR simplifies and clarifies the when clause in the private function calculatePathForAnyPattern in JSONObjectPattern.kt."""
3104405109-A,3104405109,merged_after_rework,closed,true,33373292,Copilot,https://github.com/microsoft/ApplicationInsights-JS/pull/2583,,pr_review_comment,2025-06-06T20:08:53Z,2025-07-07T21:16:47Z,742318,910655,742318,primera_review_aprobada,,,
3105376649-A,3105376649,merged_after_rework,closed,true,143808059,Copilot,https://github.com/cybersemics/em/pull/2994,,pr_review,2025-05-31T12:13:13Z,2025-06-02T17:06:55Z,,53204,53204,merge_sin_review_aprobada,,,
3105630972-A,3105630972,merged_after_rework,closed,true,65654242,Copilot,https://github.com/wvlet/airframe/pull/3947,,pr_review_comment,2025-06-02T17:34:08Z,2025-06-02T18:51:15Z,,51580,51580,merge_sin_review_aprobada,,,
3108675807-A,3108675807,merged_after_rework,closed,true,2327138,Copilot,https://github.com/EduMIPS64/edumips64/pull/1360,,pr_review_comment,2025-06-02T11:02:59Z,2025-06-03T21:04:30Z,39066,39287,39066,primera_review_aprobada,,,
3108861090-A,3108861090,merged_after_rework,closed,true,136202695,Copilot,https://github.com/mlflow/mlflow/pull/16007,,pr_comment,2025-06-02T07:40:14Z,2025-06-02T08:01:26Z,,1118,1118,merge_sin_review_aprobada,,,
3113149474-A,3113149474,merged_after_rework,closed,true,470727349,Copilot,https://github.com/celestiaorg/docs/pull/2062,,pr_review_comment,2025-06-03T09:55:53Z,2025-06-03T09:57:37Z,623,632,623,primera_review_aprobada,,,
3114898378-A,3114898378,merged_after_rework,closed,true,153795464,Copilot,https://github.com/artprima/prometheus-metrics-bundle/pull/118,,pr_review_comment,2025-06-03T23:20:49Z,2025-06-04T02:03:10Z,,8181,8181,merge_sin_review_aprobada,,,
3115119469-A,3115119469,merged_after_rework,closed,true,111599187,Copilot,https://github.com/kanisterio/kanister/pull/3501,,pr_review,2025-06-04T06:02:04Z,2025-06-04T22:23:39Z,23651,27289,23651,primera_review_aprobada,,,
3115680597-A,3115680597,merged_after_rework,closed,true,156939672,Copilot,https://github.com/microsoft/onnxruntime/pull/24947,,pr_review,2025-06-04T00:36:06Z,2025-06-04T21:45:06Z,1523,22673,1523,primera_review_aprobada,,,
3115762277-A,3115762277,merged_after_rework,closed,true,696529789,Copilot,https://github.com/dotnet/aspire/pull/9676,,pr_review_comment,2025-06-05T00:32:50Z,2025-06-11T02:29:13Z,170305,170582,170305,primera_review_aprobada,,,
3120162244-A,3120162244,merged_after_rework,closed,true,136202695,Copilot,https://github.com/mlflow/mlflow/pull/16088,,pr_comment,2025-06-05T09:26:22Z,2025-06-05T09:26:30Z,1200,1872,1200,primera_review_aprobada,,,
3120246489-A,3120246489,merged_after_rework,closed,true,111599187,Copilot,https://github.com/kanisterio/kanister/pull/3506,,pr_review_comment,2025-06-05T11:01:48Z,2025-06-18T19:07:04Z,,323042,323042,merge_sin_review_aprobada,,,
3124709717-A,3124709717,merged_after_rework,closed,true,221931137,Copilot,https://github.com/celestiaorg/celestia-core/pull/1918,,pr_review_comment,2025-06-06T13:17:06Z,2025-06-06T14:55:10Z,1806,1990,1806,primera_review_aprobada,,,
3125708547-A,3125708547,merged_after_rework,closed,true,221931137,Copilot,https://github.com/celestiaorg/celestia-core/pull/1935,,pr_review,2025-06-06T19:57:35Z,2025-06-11T14:52:46Z,69080,115182,69080,primera_review_aprobada,,,
3125790678-A,3125790678,merged_after_rework,closed,true,33010673,Copilot,https://github.com/microsoft/perfview/pull/2227,,pr_review_comment,2025-06-06T20:36:15Z,2025-06-06T23:51:24Z,2414,3461,2414,primera_review_aprobada,,,
3125817776-A,3125817776,merged_after_rework,closed,true,108311273,Copilot,https://github.com/Azure/azure-sdk-for-js/pull/34735,,pr_review_comment,2025-06-06T20:52:18Z,2025-06-09T22:10:11Z,56839,73515,56839,primera_review_aprobada,,,
3129041184-A,3129041184,merged_after_rework,closed,true,456470362,Copilot,https://github.com/polkadot-cloud/polkadot-staking-dashboard/pull/2801,,pr_comment,2025-06-09T07:10:22Z,2025-06-09T08:35:06Z,,4905,4905,merge_sin_review_aprobada,,,
3131854557-A,3131854557,merged_after_rework,closed,true,824265054,Copilot,https://github.com/CommunityToolkit/Aspire/pull/724,,pr_review_comment,2025-06-10T13:41:48Z,2025-06-16T04:38:41Z,147503,147506,147503,primera_review_aprobada,,,
3134530187-A,3134530187,merged_after_rework,closed,true,541735786,Copilot,https://github.com/lukasoppermann/style-dictionary-utils/pull/114,,pr_comment,2025-06-10T18:43:01Z,2025-06-10T19:06:55Z,384,477,384,primera_review_aprobada,,,
3134926821-A,3134926821,merged_after_rework,closed,true,41881900,Copilot,https://github.com/microsoft/vscode/pull/251156,,pr_review,2025-06-10T22:16:38Z,2025-06-12T22:47:30Z,48036,48921,48036,primera_review_aprobada,,,
3137658330-A,3137658330,merged_after_rework,closed,true,541735786,Copilot,https://github.com/lukasoppermann/style-dictionary-utils/pull/116,,pr_review_comment,2025-06-12T14:24:03Z,2025-06-13T20:49:39Z,15,50989,15,primera_review_aprobada,,,
3138223553-A,3138223553,merged_after_rework,closed,true,61973853,Copilot,https://github.com/microsoft/vscode-mssql/pull/19579,,pr_comment,2025-06-13T00:45:18Z,2025-06-25T17:47:48Z,311220,331728,311220,primera_review_aprobada,,,
3139271869-A,3139271869,merged_after_rework,closed,true,696529789,Copilot,https://github.com/dotnet/aspire/pull/9849,,pr_comment,2025-06-13T06:12:48Z,2025-06-16T06:24:52Z,92449,94367,92449,primera_review_aprobada,,,
3141472779-A,3141472779,merged_after_rework,closed,true,416855086,Copilot,https://github.com/github/gh-gei/pull/1359,,pr_review_comment,2025-06-12T20:56:21Z,2025-06-20T14:23:01Z,185853,185988,185853,primera_review_aprobada,,,
3141802223-A,3141802223,merged_after_rework,closed,true,42548553,Copilot,https://github.com/Azure/azure-functions-host/pull/11115,,pr_review_comment,2025-06-13T22:01:04Z,2025-07-24T22:46:26Z,1006168,1007051,1006168,primera_review_aprobada,,,
3141911282-A,3141911282,merged_after_rework,closed,true,61973853,Copilot,https://github.com/microsoft/vscode-mssql/pull/19596,,pr_comment,2025-06-24T21:33:10Z,2025-06-25T17:49:20Z,285279,305053,285279,primera_review_aprobada,,,
3142914272-A,3142914272,merged_after_rework,closed,true,65080725,Copilot,https://github.com/microsoft/testfx/pull/5767,,pr_review_comment,2025-06-13T10:02:01Z,2025-06-13T15:32:24Z,600,6024,600,primera_review_aprobada,,,
3147419646-A,3147419646,merged_after_rework,closed,true,56319070,Copilot,https://github.com/nkdAgility/azure-devops-migration-tools/pull/2742,,pr_comment,2025-06-16T08:21:11Z,2025-06-16T09:03:18Z,21008,21152,21008,primera_review_aprobada,,,
3147503921-A,3147503921,merged_after_rework,closed,true,274495425,Copilot,https://github.com/remotion-dev/remotion/pull/5375,,pr_review,2025-06-15T17:57:09Z,2025-06-16T08:06:10Z,6346,19091,6346,primera_review_aprobada,,,
3150623138-A,3150623138,merged_after_rework,closed,true,55075302,Copilot,https://github.com/dotnet/android/pull/10206,,pr_review_comment,2025-06-16T17:19:28Z,2025-06-16T23:55:44Z,1711,7296,1711,primera_review_aprobada,,,
